time_iso8601,forks_cumulative
2024-12-21 00:00:00+00:00,42205
2024-12-22 00:00:00+00:00,42217
2024-12-23 00:00:00+00:00,42235
2024-12-24 00:00:00+00:00,42260
2024-12-25 00:00:00+00:00,42281
2024-12-26 00:00:00+00:00,42298
2024-12-27 00:00:00+00:00,42314
2024-12-28 00:00:00+00:00,42331
2024-12-29 00:00:00+00:00,42342
2024-12-30 00:00:00+00:00,42349
2024-12-31 00:00:00+00:00,42361
2025-01-01 00:00:00+00:00,42365
2025-01-02 00:00:00+00:00,42382
2025-01-03 00:00:00+00:00,42400
2025-01-04 00:00:00+00:00,42409
2025-01-05 00:00:00+00:00,42422
2025-01-06 00:00:00+00:00,42441
2025-01-07 00:00:00+00:00,42457
2025-01-08 00:00:00+00:00,42466
2025-01-09 00:00:00+00:00,42484
2025-01-10 00:00:00+00:00,42499
2025-01-11 00:00:00+00:00,42510
2025-01-12 00:00:00+00:00,42522
2025-01-13 00:00:00+00:00,42537
2025-01-14 00:00:00+00:00,42570
2025-01-15 00:00:00+00:00,42582
2025-01-16 00:00:00+00:00,42602
2025-01-17 00:00:00+00:00,42613
2025-01-18 00:00:00+00:00,42626
2025-01-19 00:00:00+00:00,42634
2025-01-20 00:00:00+00:00,42651
2025-01-21 00:00:00+00:00,42665
2025-01-22 00:00:00+00:00,42679
2025-01-23 00:00:00+00:00,42693
2025-01-24 00:00:00+00:00,42704
2025-01-25 00:00:00+00:00,42713
2025-01-26 00:00:00+00:00,42723
2025-01-27 00:00:00+00:00,42734
2025-01-28 00:00:00+00:00,42746
2025-01-29 00:00:00+00:00,42757
2025-01-30 00:00:00+00:00,42767
2025-01-31 00:00:00+00:00,42777
2025-02-01 00:00:00+00:00,42786
2025-02-02 00:00:00+00:00,42797
2025-02-03 00:00:00+00:00,42806
2025-02-04 00:00:00+00:00,42821
2025-02-05 00:00:00+00:00,42835
2025-02-06 00:00:00+00:00,42850
2025-02-07 00:00:00+00:00,42869
2025-02-08 00:00:00+00:00,42886
2025-02-09 00:00:00+00:00,42901
2025-02-10 00:00:00+00:00,42920
2025-02-11 00:00:00+00:00,42932
